lead,group,mean_V,std_V,gain,R_in_MOhm,R_fb_MOhm
0,raw,0.857073,0.055248,3.620063,1.0000,3.6201
0,hp08,0.006783,0.001503,133.087874,1.0000,133.0879
0,hp015,0.039889,0.014810,13.504146,1.0000,13.5041
0,lp05,0.840056,0.053846,3.714286,1.0000,3.7143
0,lp008,0.792385,0.046671,4.285329,1.0000,4.2853
0,bandpass,0.047671,0.017460,11.454574,1.0000,11.4546
0,rect_hp,0.007912,0.001277,156.658549,1.0000,156.6585
0,deriv2,0.003053,0.000489,408.915640,1.0000,408.9156
0,energy_qrs,35.373873,2.241753,0.089216,1.0000,0.0892
0,energy_pre,34.030824,1.752333,0.114134,1.0000,0.1141
0,energy_post,42.153499,2.606821,0.076722,1.0000,0.0767
0,qrs_max,1.054687,0.090221,2.216785,1.0000,2.2168
0,qrs_min,0.788303,0.070965,2.818271,1.0000,2.8183
0,qrs_amp,0.266383,0.102820,1.945156,1.0000,1.9452
1,raw,0.884912,0.056960,3.511211,1.0000,3.5112
1,hp08,0.007097,0.001467,136.323028,1.0000,136.3230
1,hp015,0.041517,0.014435,13.855691,1.0000,13.8557
1,lp05,0.867096,0.055794,3.584595,1.0000,3.5846
1,lp008,0.817664,0.049037,4.078515,1.0000,4.0785
1,bandpass,0.049432,0.017693,11.303618,1.0000,11.3036
1,rect_hp,0.007777,0.001240,161.324606,1.0000,161.3246
1,deriv2,0.003189,0.000502,398.513036,1.0000,398.5130
1,energy_qrs,34.785492,2.475214,0.080801,1.0000,0.0808
1,energy_pre,35.280838,1.859042,0.107582,1.0000,0.1076
1,energy_post,44.691452,2.604308,0.076796,1.0000,0.0768
1,qrs_max,0.936776,0.076672,2.608507,1.0000,2.6085
1,qrs_min,0.789281,0.095041,2.104358,1.0000,2.1044
1,qrs_amp,0.147496,0.094515,2.116062,1.0000,2.1161
