Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =   0 | OutputSignal = x
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =   0 | OutputSignal = x
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  10 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  10 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 1 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  10 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 1 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  19 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  19 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  29 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  29 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  38 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  38 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  36 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  36 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  44 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  44 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  53 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 1 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  53 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 1 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  59 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  59 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  67 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  67 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  73 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  73 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  69 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  69 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  75 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  75 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  82 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 1 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  82 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 1 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  86 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  86 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  92 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  92 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  97 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  97 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  91 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  91 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  96 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential =  96 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 101 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 1 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 101 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 1 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 104 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 104 | OutputSignal = 0
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 1 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 109 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 109 | OutputSignal = 0
Spike1 = 1 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 109 | OutputSignal = 1
Spike1 = 0 | Spike1Weight =  10 || Spike2 = 0 | Spike2Weight =  11 || Spike3 = 0 | Spike3Weight =   9 | alpha =   4 | CurrentPortential = 109 | OutputSignal = 1
